Location,Customer ID,Customer Name,Contact Type,Catalog Type,Ship To ID,Ship To Name,Sales Order,Salesman,Model,Model Description,Status,Sub Status,Invoice,Invoice Date,Price Name,Channel,State,Country,Order Qty,Order Price,Shipped Qty,Shipped Price,Shipped CBF
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S88790,SRMAR,8480BRW-1PW,"P.RCLNR CHAIR,DK BRW LTR GEL MTC R12",Closed,,HE165462,09/04/2018,Promotional Price,,CA,US United States,1,286.15,1,286.15,25.800
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,LEXKQ01;,ACEFA,ACE FURNITURE,S88790,SRMAR,MT-G08T,"8"" TWIN MATTRESS 2""+6""",Closed,,HE165462,09/04/2018,Promotional Price,,CA,US United States,2,211.46,2,211.46,9.860
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,LEXKQ01;,ACEFA,ACE FURNITURE,S88790,SRMAR,MT-G08F,"8"" FULL MATTRESS 2""+6""",Closed,,HE165462,09/04/2018,Promotional Price,,CA,US United States,1,144.53,1,144.53,6.770
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S88136,SRMAR,1730-4,NIGHT STAND,Closed,,HE165463,09/04/2018,Promotional Price,,CA,US United States,2,133.86,2,133.86,21.380
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S88136,SRMAR,1730-9,CHEST,Closed,,HE165463,09/04/2018,Promotional Price,,CA,US United States,1,154.23,1,154.23,28.220
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S88136,SRMAR,8480BRW-2,"D.RCLNR LS,D.BRW LTHR GEL MATCH",Closed,,HE165463,09/04/2018,Promotional Price,,CA,US United States,1,348.23,1,348.23,39.500
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S88136,SRMAR,8480BRW-3,"D.RCLINR SOFA,D.BRW LTHR GEL M.",Closed,,HE165463,09/04/2018,Promotional Price,,CA,US United States,1,367.63,1,367.63,53.500
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S88136,SRMAR,8480GRY-2PW,"P.DBL RCLN LS,GREY LTR GEL MTCHL14",Closed,,HE165463,09/04/2018,Promotional Price,,CA,US United States,1,445.23,1,445.23,39.500
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;AMZ02;,ACEFA,ACE FURNITURE,S88136,SRMAR,1372-36,COUNTER HEIGHT TABLE,Closed,,HE165463,09/04/2018,Promotional Price,,CA,US United States,1,163.93,1,163.93,12.000
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;AMZ02;,ACEFA,ACE FURNITURE,S88136,SRMAR,1372-24,COUNTER HEIGHT CHAIR,Closed,,HE165463,09/04/2018,Promotional Price,,CA,US United States,8,302.64,8,302.64,26.160
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S88136,SRMAR,2147W-5,DRESSER,Closed,,HE165463,09/04/2018,Promotional Price,,CA,US United States,1,111.55,1,111.55,23.318
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S88136,SRMAR,B2043-4,"NIGHT STAND, 1 DRAWER",Closed,,HE165463,09/04/2018,Promotional Price,,CA,US United States,1,50.44,1,50.44,7.303
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S88136,SRMAR,4966DG-A,(1/2) DAYBED SIDE ARMS & SIDE PANELS & SLATS + TRUNDLE SIDE PANELS,Closed,,HE165463,09/04/2018,Promotional Price,,CA,US United States,1,155.08,1,155.08,11.675
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S88136,SRMAR,4966DG-B,(2/2) DAYBED BACK PANEL & RAILS + TRUNDLE FRONT/BACK PANEL,Closed,,HE165463,09/04/2018,Promotional Price,,CA,US United States,1,37.95,1,37.95,7.770
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S88689,SRMAR,2259GY-5,"DRESSER, HIDDEN DRAWER",Closed,,HE166461,09/10/2018,Unit Price,,CA,US United States,1,299.00,1,299.00,33.559
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S88689,SRMAR,2259GY-9,CHEST,Closed,,HE166461,09/10/2018,Unit Price,,CA,US United States,1,250.00,1,250.00,27.991
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S88689,SRMAR,2259GY-4,"NIGHT STAND, HIDDEN DRWR, ANT. WHITE",Closed,,HE166461,09/10/2018,Unit Price,,CA,US United States,1,139.00,1,139.00,11.726
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;AMZ02;,ACEFA,ACE FURNITURE,S88689,SRMAR,2145F-1,"(1/3) FULL HDBD, PVC, ESPRSO",Closed,,HE166461,09/10/2018,Promotional Price,,CA,US United States,2,109.76,2,109.76,6.936
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;AMZ02;,ACEFA,ACE FURNITURE,S88689,SRMAR,2145F-2,(2/3) FULL FTBD,Closed,,HE166461,09/10/2018,Promotional Price,,CA,US United States,2,38.12,2,38.12,3.129
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;AMZ02;,ACEFA,ACE FURNITURE,S88689,SRMAR,2145F-3,(3/3) FULL RL & SL,Closed,,HE166461,09/10/2018,Promotional Price,,CA,US United States,2,50.12,2,50.12,2.493
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S88689,SRMAR,8480GRY-2LCN,(1/4) LSF RECLNR LOVE SEAT W/ CONSOLE,Closed,,HE166461,09/10/2018,Promotional Price,,CA,US United States,1,269.88,1,269.88,41.390
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;AMZ02;,ACEFA,ACE FURNITURE,S88689,SRMAR,8480GRY-CR,"(2/4) CORNER SEAT, GRAY LEATHER GEL MTCH",Closed,,HE166461,09/10/2018,Promotional Price,,CA,US United States,1,190.06,1,190.06,33.610
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S88689,SRMAR,8480GRY-2R,(3/4) RSF RECLNR LOVE SEAT,Closed,,HE166461,09/10/2018,Promotional Price,,CA,US United States,1,229.06,1,229.06,33.110
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S88689,SRMAR,8480GRY-AR,(4/4) ARMLESS RECLNR CHAIR,Closed,,HE166461,09/10/2018,Promotional Price,,CA,US United States,1,110.00,1,110.00,11.920
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S88689,SRMAR,8480GRY-1,"GLDR RCLNR CHAIR,GREY LTHR GEL M.",Closed,,HE166461,09/10/2018,Promotional Price,,CA,US United States,1,245.00,1,245.00,25.800
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S88689,SRMAR,8230BRW-2,D. GLDR RCLNR LOVE SEAT W/CONSOLE,Closed,,HE166461,09/10/2018,Promotional Price,,CA,US United States,1,329.00,1,329.00,34.560
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S88689,SRMAR,8230BRW-3,D. RCLNR SOFA,Closed,,HE166461,09/10/2018,Promotional Price,,CA,US United States,1,329.00,1,329.00,38.510
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S88689,SRMAR,2423-36,COUNTER HEIGHT TABLE,Closed,,HE166461,09/10/2018,Unit Price,,CA,US United States,1,141.00,1,141.00,10.026
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S88689,SRMAR,2423-24,COUNTER HEIGHT CHAIR,Closed,,HE166461,09/10/2018,Unit Price,,CA,US United States,4,144.00,4,144.00,10.400
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S89443,SRMAR,1730-1,(1/3) QUEEN HEABOARD,Closed,,HE167590,09/17/2018,Promotional Price,,CA,US United States,1,60.88,1,60.88,7.700
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S89443,SRMAR,1730-2,(2/3) QUEEN FOOTBOARD W/SLATS & SUPPORT LEGS,Closed,,HE167590,09/17/2018,Promotional Price,,CA,US United States,1,31.06,1,31.06,2.310
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;AMZ02;,ACEFA,ACE FURNITURE,S89443,SRMAR,1730-3,(3/3) QUEEN/EK SIDE RAILS,Closed,,HE167590,09/17/2018,Promotional Price,,CA,US United States,1,27.06,1,27.06,2.300
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S89443,SRMAR,1730-4,NIGHT STAND,Closed,,HE167590,09/17/2018,Promotional Price,,CA,US United States,2,138.00,2,138.00,21.380
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S89443,SRMAR,1730-5,DRESSER,Closed,,HE167590,09/17/2018,Promotional Price,,CA,US United States,1,169.00,1,169.00,34.450
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S89443,SRMAR,1730-6,MIRROR,Closed,,HE167590,09/17/2018,Promotional Price,,CA,US United States,1,42.00,1,42.00,3.770
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S89443,SRMAR,2259KGY-1,"(1/3) EK/CK SL HDBD, ANT. WHITE",Closed,,HE167590,09/17/2018,Unit Price,,CA,US United States,1,209.88,1,209.88,13.276
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S89443,SRMAR,2259KGY-2,(2/3) EK/CK FTBD W/ 2 STRG DRWRS & SLATS,Closed,,HE167590,09/17/2018,Unit Price,,CA,US United States,1,235.06,1,235.06,27.961
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S89443,SRMAR,2259GY-3,(3/3) EK/QN RAILS,Closed,,HE167590,09/17/2018,Unit Price,,CA,US United States,1,54.06,1,54.06,3.368
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S89443,SRMAR,8490-AR,(4/6) ARMLESS RECLINING CHAIR  R14,Closed,,HE167590,09/17/2018,Promotional Price,,CA,US United States,1,135.00,1,135.00,17.700
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S89443,SRMAR,9901CC-2,D. RCLN LOVE SEAT W/ CONSOLE,Closed,,HE167590,09/17/2018,Promotional Price,,CA,US United States,1,319.00,1,319.00,39.170
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S89443,SRMAR,9901CC-3,D. RCLN SOFA,Closed,,HE167590,09/17/2018,Promotional Price,,CA,US United States,1,319.00,1,319.00,42.990
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S89443,SRMAR,1718GY-1,(1/3) QN HB,Closed,,HE167590,09/17/2018,Unit Price,,CA,US United States,1,139.88,1,139.88,10.379
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S89443,SRMAR,1718GY-2,(2/3) QN STORAGE FB W/SLATS,Closed,,HE167590,09/17/2018,Unit Price,,CA,US United States,1,95.06,1,95.06,19.653
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S89443,SRMAR,1718GY-3,(3/3) EK/QN RAILS,Closed,,HE167590,09/17/2018,Unit Price,,CA,US United States,1,44.06,1,44.06,3.249
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;AMZ02;,ACEFA,ACE FURNITURE,S89539,SRMAR,2159-1,"(1/3) QN PLFM HDBD, BRW CHRY",Closed,,HE168568,09/24/2018,Unit Price,,CA,US United States,1,149.88,1,149.88,10.206
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;AMZ02;,ACEFA,ACE FURNITURE,S89539,SRMAR,2159-2NF,(2/3) QN FTBD & STRG DRWRS & SL,Closed,,HE168568,09/24/2018,Unit Price,,CA,US United States,1,184.06,1,184.06,19.458
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;AMZ02;,ACEFA,ACE FURNITURE,S89539,SRMAR,2159-3,(3/3) QUEEN RAILS,Closed,,HE168568,09/24/2018,Unit Price,,CA,US United States,1,65.06,1,65.06,3.023
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;AMZ02;,ACEFA,ACE FURNITURE,S89539,SRMAR,2159-4,NIGHT STAND,Closed,,HE168568,09/24/2018,Unit Price,,CA,US United States,2,290.00,2,290.00,20.271
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S89539,SRMAR,2159-9,CHEST,Closed,,HE168568,09/24/2018,Unit Price,,CA,US United States,1,289.00,1,289.00,25.550
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S89539,SRMAR,8480BRW-1,"GLDR RCLNR CHAIR,D.BRW LTHR GEL M",Closed,,HE168568,09/24/2018,Promotional Price,,CA,US United States,1,245.00,1,245.00,25.800
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S89539,SRMAR,8480BRW-2,"D.RCLNR LS,D.BRW LTHR GEL MATCH",Closed,,HE168568,09/24/2018,Promotional Price,,CA,US United States,1,359.00,1,359.00,39.500
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S89539,SRMAR,8480GRY-1,"GLDR RCLNR CHAIR,GREY LTHR GEL M.",Closed,,HE168568,09/24/2018,Promotional Price,,CA,US United States,1,245.00,1,245.00,25.800
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S89539,SRMAR,1730-1,(1/3) QUEEN HEABOARD,Closed,,HE168568,09/24/2018,Promotional Price,,CA,US United States,1,60.88,1,60.88,7.700
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S89539,SRMAR,1730-2,(2/3) QUEEN FOOTBOARD W/SLATS & SUPPORT LEGS,Closed,,HE168568,09/24/2018,Promotional Price,,CA,US United States,1,31.06,1,31.06,2.310
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;AMZ02;,ACEFA,ACE FURNITURE,S89539,SRMAR,1730-3,(3/3) QUEEN/EK SIDE RAILS,Closed,,HE168568,09/24/2018,Promotional Price,,CA,US United States,1,27.06,1,27.06,2.300
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S89539,SRMAR,1730-4,NIGHT STAND,Closed,,HE168568,09/24/2018,Promotional Price,,CA,US United States,1,69.00,1,69.00,10.690
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S89539,SRMAR,1730-5,DRESSER,Closed,,HE168568,09/24/2018,Promotional Price,,CA,US United States,1,169.00,1,169.00,34.450
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S89539,SRMAR,8480BRW-1PW,"P.RCLNR CHAIR,DK BRW LTR GEL MTC R12",Closed,,HE168568,09/24/2018,Promotional Price,,CA,US United States,1,295.00,1,295.00,25.800
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S89539,SRMAR,1718GY-2,(2/3) QN STORAGE FB W/SLATS,Closed,,HE168568,09/24/2018,Unit Price,,CA,US United States,1,95.06,1,95.06,19.653
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,HMLG,"Homelegance, Inc",S87067,SRMAR,1730-5,DRESSER,Closed,,HR166299,09/07/2018,Promotional Price,,CA,US United States,-1,-169.00,-1,-169.00,-34.450
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,HMLG,"Homelegance, Inc",S88136,SRMAR,8480GRY-2PW,"P.DBL RCLN LS,GREY LTR GEL MTCHL14",Closed,,HR168738,09/24/2018,Promotional Price,,CA,US United States,-1,-445.23,-1,-445.23,-39.500
"HOMELEGANCE, INC",AMOBO,AMORETTO BOUTIQUE,Local Customer;,,AMOBO,AMORETTO BOUTIQUE,S88873,SRMAR,5518-78,"(1/2) TRESTLE TBL, SOLID TOP, BTFLY TBL",Closed,,HE165685,09/05/2018,Unit Price,,CA,US United States,1,199.88,1,199.88,11.484
"HOMELEGANCE, INC",AMOBO,AMORETTO BOUTIQUE,Local Customer;,,AMOBO,AMORETTO BOUTIQUE,S88873,SRMAR,5518-78B,(2/2) TRESTLE BASE,Closed,,HE165685,09/05/2018,Unit Price,,CA,US United States,1,69.12,1,69.12,4.841
"HOMELEGANCE, INC",AMOBO,AMORETTO BOUTIQUE,Local Customer;,,AMOBO,AMORETTO BOUTIQUE,S88873,SRMAR,5518S,SIDE CHAIR,Closed,,HE165685,09/05/2018,Unit Price,,CA,US United States,8,320.00,8,320.00,18.802
"HOMELEGANCE, INC",AMOBO,AMORETTO BOUTIQUE,Local Customer;,,AMOBO,AMORETTO BOUTIQUE,S88873,SRMAR,5518-40,SERVER,Closed,,HE165685,09/05/2018,Unit Price,,CA,US United States,1,279.00,1,279.00,26.410
"HOMELEGANCE, INC",AMOBO,AMORETTO BOUTIQUE,Local Customer;,AMZ01;,AMOBO,AMORETTO BOUTIQUE,S88873,SRMAR,8245GY-2,LOVE SEAT,Closed,,HE165685,09/05/2018,Promotional Price,,CA,US United States,1,189.00,1,189.00,23.550
"HOMELEGANCE, INC",AMOBO,AMORETTO BOUTIQUE,Local Customer;,AMZ01;,AMOBO,AMORETTO BOUTIQUE,S88873,SRMAR,8245GY-3,SOFA,Closed,,HE165685,09/05/2018,Promotional Price,,CA,US United States,1,209.00,1,209.00,34.400
"HOMELEGANCE, INC",AMOBO,AMORETTO BOUTIQUE,Local Customer;,AMZ01;,AMOBO,AMORETTO BOUTIQUE,S88873,SRMAR,5428-S1,"\SIDE CHAIR, FABRC & NAIL-HD",Closed,,HE165685,09/05/2018,Unit Price,,CA,US United States,4,240.00,4,240.00,12.000
"HOMELEGANCE, INC",AMOBO,AMORETTO BOUTIQUE,Local Customer;,AMZ01;,AMOBO,AMORETTO BOUTIQUE,S88873,SRMAR,5177-30,COCKTAIL TABLE,Closed,,HE165685,09/05/2018,Unit Price,,CA,US United States,1,155.00,1,155.00,6.740
"HOMELEGANCE, INC",AMOBO,AMORETTO BOUTIQUE,Local Customer;,AMZ01;,AMOBO,AMORETTO BOUTIQUE,S88873,SRMAR,2047FBK-1,"FULL METAL PLFM BED, BLK XX",Closed,,HE165685,09/05/2018,Unit Price,,CA,US United States,1,69.00,1,69.00,3.549
"HOMELEGANCE, INC",AMOBO,AMORETTO BOUTIQUE,Local Customer;,,AMOBO,AMORETTO BOUTIQUE,S89606,SRMAR,1714BK-4,NIGHT STAND W/HIDDEN DRAWER,Closed,,HE167061,09/12/2018,Unit Price,,CA,US United States,2,230.86,2,230.86,21.874
"HOMELEGANCE, INC",AMOBO,AMORETTO BOUTIQUE,Local Customer;,,AMOBO,AMORETTO BOUTIQUE,S89606,SRMAR,1714BK-9,CHEST,Closed,,HE167061,09/12/2018,Unit Price,,CA,US United States,1,194.00,1,194.00,27.228
"HOMELEGANCE, INC",AMOBO,AMORETTO BOUTIQUE,Local Customer;,,AMOBO,AMORETTO BOUTIQUE,S89717,SRMAR,1977F-1,(1/2) FULL HB & FB & SL,Closed,,HE168094,09/19/2018,Unit Price,,CA,US United States,1,164.88,1,164.88,9.913
"HOMELEGANCE, INC",AMOBO,AMORETTO BOUTIQUE,Local Customer;,,AMOBO,AMORETTO BOUTIQUE,S89717,SRMAR,1977T-3,(2/2) TWIN/FULL RAILS,Closed,,HE168094,09/19/2018,Unit Price,,CA,US United States,1,34.12,1,34.12,1.685
"HOMELEGANCE, INC",AMOBO,AMORETTO BOUTIQUE,Local Customer;,,AMOBO,AMORETTO BOUTIQUE,S89717,SRMAR,1977-4,NIGHT STAND,Closed,,HE168094,09/19/2018,Unit Price,,CA,US United States,1,109.00,1,109.00,8.645
"HOMELEGANCE, INC",AMOBO,AMORETTO BOUTIQUE,Local Customer;,,HMLG,"Homelegance, Inc",S89717,SRMAR,1977F-1,(1/2) FULL HB & FB & SL,Closed,,HR168947,09/24/2018,Unit Price,,CA,US United States,-1,-164.88,-1,-164.88,-9.913
"HOMELEGANCE, INC",AMOBO,AMORETTO BOUTIQUE,Local Customer;,,HMLG,"Homelegance, Inc",S89717,SRMAR,1977T-3,(2/2) TWIN/FULL RAILS,Closed,,HR168947,09/24/2018,Unit Price,,CA,US United States,-1,-34.12,-1,-34.12,-1.685
"HOMELEGANCE, INC",AMOBO,AMORETTO BOUTIQUE,Local Customer;,,HMLG,"Homelegance, Inc",S89717,SRMAR,1977-4,NIGHT STAND,Closed,,HR168947,09/24/2018,Unit Price,,CA,US United States,-1,-109.00,-1,-109.00,-8.645
DROP SHIP-HOMER,AVEFU,AVETEX FURNITURE CO,Local Customer;,,AVETEX,AVETEX FURNITURE CO,D6224,SRMAR,2243-76,"(1/2) RD-OVAL DNNG TBL TOP,CHRY",Closed,,HE166760,09/10/2018,Unit Price,,CA,US United States,1,329.87,1,329.87,19.900
DROP SHIP-HOMER,AVEFU,AVETEX FURNITURE CO,Local Customer;,,AVETEX,AVETEX FURNITURE CO,D6224,SRMAR,2243-76B,(2/2) PEDESTAL BASE,Closed,,HE166760,09/10/2018,Unit Price,,CA,US United States,1,146.43,1,146.43,11.300
DROP SHIP-HOMER,AVEFU,AVETEX FURNITURE CO,Local Customer;,,AVETEX,AVETEX FURNITURE CO,D6224,SRMAR,2243A,ARM CHAIR,Closed,,HE166760,09/10/2018,Unit Price,,CA,US United States,2,231.00,2,231.00,11.120
DROP SHIP-HOMER,AVEFU,AVETEX FURNITURE CO,Local Customer;,,AVETEX,AVETEX FURNITURE CO,D6224,SRMAR,2243S,SIDE CHAIR,Closed,,HE166760,09/10/2018,Unit Price,,CA,US United States,4,435.60,4,435.60,22.240
"HOMELEGANCE, INC",AVEFU,AVETEX FURNITURE CO,Local Customer;,,AVETEX,AVETEX FURNITURE CO,S88767,SRMAR,5882-1,"QN BED IN A BOX, LIGHT GRAY",Closed,,HE165947,09/06/2018,Unit Price,,CA,US United States,2,218.00,2,218.00,21.660
"HOMELEGANCE, INC",AVEFU,AVETEX FURNITURE CO,Local Customer;,,AVETEX,AVETEX FURNITURE CO,S88767,SRMAR,5882F-1,"FULL BED IN A BOX, LIGHT GRAY",Closed,,HE165947,09/06/2018,Unit Price,,CA,US United States,2,218.00,2,218.00,20.040
"HOMELEGANCE, INC",AVEFU,AVETEX FURNITURE CO,Local Customer;,AMZ01;,AVETEX,AVETEX FURNITURE CO,S90328,SRMAR,5178BRS,"SIDE CHAIR, BROWN",Closed,,HE169042,09/26/2018,Unit Price,,CA,US United States,4,139.68,4,139.68,10.520
"HOMELEGANCE, INC",BAKBF,BAKER BROTHERS,Local Customer;,,BAKBF,BAKER BROTHERS,S88551,SRMAR,5400-30,CKTL TBL W/METAL TRIM,Closed,,HE165715,09/05/2018,Unit Price,,CA,US United States,1,85.00,1,85.00,6.014
"HOMELEGANCE, INC",BAKBF,BAKER BROTHERS,Local Customer;,AMZ01;,BAKBF,BAKER BROTHERS,S88551,SRMAR,9700BRW-1,"RECLINER CHAIR, BROWN BONDED LEATHER MATCH",Closed,,HE165715,09/05/2018,Promotional Price,,CA,US United States,1,179.00,1,179.00,15.550
"HOMELEGANCE, INC",BAKBF,BAKER BROTHERS,Local Customer;,AMZ01;AMZ02;,BAKBF,BAKER BROTHERS,S88551,SRMAR,2147-1,"(1/2) QN HB & FB, L.PHILIP,CHRY",Closed,,HE165715,09/05/2018,Promotional Price,,CA,US United States,2,179.76,2,179.76,12.297
"HOMELEGANCE, INC",BAKBF,BAKER BROTHERS,Local Customer;,AMZ01;AMZ02;,BAKBF,BAKER BROTHERS,S88551,SRMAR,2147-3,"(2/2) QN RL & SL, BRW CHERRY",Closed,,HE165715,09/05/2018,Promotional Price,,CA,US United States,2,38.24,2,38.24,2.139
"HOMELEGANCE, INC",BAKBF,BAKER BROTHERS,Local Customer;,,BAKBF,BAKER BROTHERS,S89602,SRMAR,2147FW-1,"(1/2) FL HB & FB, L.PHILIP, WHT",Closed,,HE166903,09/12/2018,Promotional Price,,CA,US United States,1,84.88,1,84.88,5.841
"HOMELEGANCE, INC",BAKBF,BAKER BROTHERS,Local Customer;,,BAKBF,BAKER BROTHERS,S89602,SRMAR,2147FW-3,"(2/2) FULL RL & SL, WHT",Closed,,HE166903,09/12/2018,Promotional Price,,CA,US United States,1,24.12,1,24.12,1.042
"HOMELEGANCE, INC",BAKBF,BAKER BROTHERS,Local Customer;,AMZ01;,BAKBF,BAKER BROTHERS,S89602,SRMAR,2601-48,"DINING TABLE, FAUX MARBLE",Closed,,HE166903,09/12/2018,Promotional Price,,CA,US United States,1,39.00,1,39.00,4.294
"HOMELEGANCE, INC",BAKBF,BAKER BROTHERS,Local Customer;,AMZ01;AMZ02;,BAKBF,BAKER BROTHERS,S89602,SRMAR,2601S,"SIDE CHAIR, SOLD AS 4PC SET ONLY",Closed,,HE166903,09/12/2018,Promotional Price,,CA,US United States,4,60.00,4,60.00,5.640
"HOMELEGANCE, INC",BAKBF,BAKER BROTHERS,Local Customer;,AMZ01;AMZ02;,BAKBF,BAKER BROTHERS,S89602,SRMAR,2147-1,"(1/2) QN HB & FB, L.PHILIP,CHRY",Closed,,HE166903,09/12/2018,Promotional Price,,CA,US United States,1,89.88,1,89.88,6.148
"HOMELEGANCE, INC",BAKBF,BAKER BROTHERS,Local Customer;,AMZ01;AMZ02;,BAKBF,BAKER BROTHERS,S89602,SRMAR,2147-3,"(2/2) QN RL & SL, BRW CHERRY",Closed,,HE166903,09/12/2018,Promotional Price,,CA,US United States,1,19.12,1,19.12,1.070
